Identifier,Angle_degree,Distance_from_ChNPP_km,Date_gamma_measurement ,Exposure_Dose_rate_mR/h,Absorbed_dose_rate_microGray/h,Zr-95_Bqm2,"SZR-95, relative error",Nb-95_Bqm2,"SNB-95, relative error",Ru-106_Bqm2,"SRU-106, relative error",Cs-134_Bqm2,"SCS-134, relative error",Cs-137_Bqm2,"SCS-137, relative error",Ce-144_Bq/m3,"SCe-144, relative error",Cs134 + Cs137 Bq/m2,Total Cs - exchangeable form bq/m2,Exch_Cs-134+Cs-137_Bqm2,x,y,INI X,INI Y
111,80,12,4/6/1987,0.3,2.6,7.40E+04,0.13,1.11E+05,0.06,3.26E+05,0.15,1.33E+05,0.06,3.26E+05,0.04,1.41E+06,0.04,4.59E+05,3.11E+05,1.48E+05,49.97535307,18.07833615,,
112,80,14.7,3/6/1987,0.12,1,5.18E+04,0.06,8.51E+04,0.03,3.55E+05,0.05,7.03E+04,0.04,2.04E+05,0.02,1.04E+06,0.02,2.74E+05,2.59E+05,1.48E+04,49.67730752,15.39483679,,
113,80,17,3/6/1987,0.12,1,2.96E+04,0.07,5.92E+04,0.03,2.37E+05,0.05,4.81E+04,0.03,1.30E+05,0.02,5.70E+05,0.02,1.78E+05,1.74E+05,3.70E+03,49.42341685,13.10889288,,
114,80,20,2/6/1987,0.14,1.2,2.22E+04,0.08,4.81E+04,0.03,2.26E+05,0.05,3.70E+04,0.04,1.07E+05,0.02,5.33E+05,0.02,1.44E+05,1.18E+05,2.59E+04,49.09225512,10.12722692,,
115,80,25,2/6/1987,0.1,0.9,1.85E+04,0.08,3.33E+04,0.04,1.07E+05,0.07,2.96E+04,0.04,8.51E+04,0.02,3.48E+05,0.03,1.15E+05,1.04E+05,1.11E+04,48.5403189,5.157783652,,
116,80,30,3/6/1987,0.07,0.6,1.48E+04,0.1,2.59E+04,0.04,1.37E+05,0.06,2.96E+04,0.04,8.51E+04,0.02,2.92E+05,0.03,1.15E+05,8.99E+04,2.48E+04,47.98838268,0.188340382,,
117,80,37.5,5/6/1987,0.04,0.3,1.11E+04,0.14,1.11E+04,0.09,4.44E+04,0.18,1.48E+04,0.11,5.18E+04,0.04,1.15E+05,0.1,6.66E+04,5.18E+04,1.48E+04,47.16047836,-7.265824522,,
118,80,45,8/6/1987,0.025,0.2,,,3.70E+03,0.13,3.70E+04,0.12,3.33E+04,0.04,8.88E+04,0.02,7.03E+04,0.08,1.22E+05,1.15E+05,7.40E+03,46.33257403,-14.71998943,,
119,80,52.5,8/6/1987,0.05,0.4,3.70E+03,0.25,3.70E+03,0.1,2.96E+04,0.13,7.40E+03,0.08,2.59E+04,0.04,5.55E+04,0.09,3.33E+04,1.85E+04,1.48E+04,45.5046697,-22.17415433,,
120,80,60,8/6/1987,0.03,0.3,,,,,,,7.40E+03,0.25,1.48E+04,0.17,0.00E+00,,2.22E+04,1.85E+04,3.70E+03,44.67676537,-29.62831924,,
121,90,5,5/6/1987,3,26.2,1.70E+05,0.05,4.03E+05,0.02,9.84E+05,0.04,2.29E+05,0.02,6.70E+05,0.01,7.84E+06,0.04,8.99E+05,6.70E+05,2.29E+05,49.05963192,34.47498332,,
122,90,6,4/6/1987,2,17.5,1.26E+05,0.06,4.11E+04,0.01,8.47E+05,0.04,2.66E+05,0.02,6.48E+05,0.01,2.82E+06,0.01,9.14E+05,8.51E+05,6.29E+04,48.6115583,35.36897998,,
123,90,7,4/6/1987,1,8.7,6.66E+04,0.04,1.41E+05,0.02,3.85E+05,0.04,7.40E+04,0.03,1.96E+05,0.02,2.66E+06,0.01,2.70E+05,2.26E+05,4.44E+04,48.16348469,36.26297665,,
124,90,8.3,4/6/1987,1,8.7,2.66E+05,0.07,4.18E+05,0.03,2.83E+06,0.04,3.00E+05,0.04,8.33E+05,0.02,1.76E+06,0.02,1.13E+06,9.14E+05,2.18E+05,47.58098899,37.42517231,,
125,90,10,4/6/1987,0.8,7,4.07E+04,0.12,1.81E+05,0.02,6.88E+05,0.04,1.26E+05,0.03,3.66E+05,0.02,1.47E+06,0.02,4.92E+05,3.44E+05,1.48E+05,46.81926384,38.94496664,,
126,90,12,4/6/1987,0.5,4.4,1.07E+05,0.12,2.26E+05,0.04,4.74E+06,0.03,1.52E+05,0.07,5.11E+05,0.03,2.36E+06,0.04,6.62E+05,5.40E+05,1.22E+05,45.92311661,40.73295996,,
127,90,14.7,2/6/1987,0.2,1.7,4.81E+04,0.05,8.88E+04,0.02,3.44E+05,0.04,5.92E+04,0.03,1.63E+05,0.02,1.10E+06,0.01,2.22E+05,1.96E+05,2.59E+04,44.71331784,43.14675095,,
128,90,17,3/6/1987,0.18,1.6,4.81E+04,0.07,9.62E+04,0.03,3.59E+05,0.05,8.14E+04,0.03,1.92E+05,0.02,1.07E+06,0.02,2.74E+05,2.59E+05,1.48E+04,43.68274853,45.20294328,,
129,90,20,3/6/1987,0.14,1.2,2.96E+04,0.06,5.92E+04,0.03,2.00E+05,0.05,3.70E+04,0.04,1.11E+05,0.02,5.88E+05,0.02,1.48E+05,1.04E+05,4.44E+04,42.33852768,47.88493327,,
130,90,25,3/6/1987,0.12,1,1.11E+04,0.11,2.59E+04,0.04,9.62E+04,0.07,2.22E+04,0.04,6.29E+04,0.03,2.78E+05,0.03,8.51E+04,5.92E+04,2.59E+04,40.0981596,52.35491659,,
131,90,30,3/6/1987,0.06,0.5,7.40E+03,0.15,1.11E+04,0.07,7.03E+04,0.09,1.85E+04,0.05,5.18E+04,0.03,1.30E+05,0.05,7.03E+04,6.22E+04,8.14E+03,37.85779152,56.82489991,,
132,90,37.5,8/6/1987,0.08,0.7,,,7.40E+02,0.19,7.40E+03,0.2,3.70E+03,0.09,7.40E+03,0.06,7.40E+03,0.28,1.11E+04,7.40E+03,3.70E+03,34.4972394,63.52987489,,
133,90,45,8/6/1987,0.07,0.6,,,1.48E+04,0.13,,,1.85E+04,0.13,4.07E+04,0.08,1.89E+05,0.09,5.92E+04,4.81E+04,1.11E+04,31.13668727,70.23484986,,
134,90,52.5,,,,,,,,,,,,,,,,,,,27.77613515,76.93982484,,
135,90,60,8/6/1987,0.02,0.2,,,,,1.85E+04,0.44,7.40E+03,0.26,,,,,7.40E+03,5.92E+03,1.48E+03,24.41558303,83.64479982,,
136,100,5,5/6/1987,2.5,21.8,3.89E+05,0.09,8.14E+05,0.04,3.24E+06,0.06,6.81E+05,0.04,1.65E+06,0.03,9.77E+06,0.03,2.33E+06,2.06E+06,2.66E+05,55.61159436,27.47317179,,
137,100,6,4/6/1987,2,17.5,1.52E+05,0.05,3.59E+05,0.02,1.00E+06,0.04,1.41E+05,0.03,4.66E+05,0.02,3.17E+06,0.01,6.07E+05,4.27E+05,1.80E+05,56.47391323,26.96680615,,
138,100,7,4/6/1987,3,26.2,1.85E+05,0.04,4.03E+05,0.02,1.21E+06,0.04,2.29E+05,0.03,7.10E+05,0.01,4.51E+06,0.01,9.40E+05,6.70E+05,2.70E+05,57.33623211,26.46044051,,
139,100,8.3,4/6/1987,1.6,14,1.41E+05,0.05,3.18E+05,0.02,9.51E+05,0.04,2.37E+05,0.02,6.48E+05,0.01,3.24E+06,0.01,8.84E+05,8.44E+05,4.07E+04,58.45724664,25.80216518,,
140,100,10,4/6/1987,0.8,7,1.52E+05,0.06,3.11E+05,0.03,1.18E+06,0.05,2.11E+05,0.04,5.11E+05,0.02,3.74E+06,0.02,7.22E+05,3.11E+05,4.11E+05,59.92318872,24.94134359,,
141,100,12,4/6/1987,0.5,4.4,1.26E+05,0.1,2.52E+05,0.04,8.62E+05,0.07,1.81E+05,0.05,4.40E+05,0.03,2.97E+06,0.03,6.22E+05,6.22E+05,,61.64782647,23.92861231,,
142,100,14.7,3/6/1987,0.16,1.4,1.07E+05,0.04,1.96E+05,0.02,7.47E+05,0.03,1.33E+05,0.03,3.59E+05,0.01,2.36E+06,0.01,4.92E+05,4.37E+05,5.55E+04,63.97608742,22.56142508,,
143,100,17,3/6/1987,0.16,1.4,8.51E+04,0.05,1.55E+05,0.02,6.03E+05,0.04,1.18E+05,0.03,3.03E+05,0.02,2.01E+06,0.01,4.22E+05,3.89E+05,3.33E+04,65.95942083,21.3967841,,
144,100,20,3/6/1987,0.1,0.9,1.48E+04,0.09,3.70E+04,0.04,1.22E+05,0.07,3.33E+04,0.04,8.51E+04,0.02,3.89E+05,0.03,1.18E+05,1.04E+05,1.48E+04,68.54637745,19.87768718,,
145,100,25,3/6/1987,0.08,0.7,1.48E+04,0.13,2.96E+04,0.05,,,4.44E+04,0.05,1.07E+05,0.03,3.11E+05,0.04,1.52E+05,5.55E+04,9.62E+04,72.85797181,17.34585897,,
146,100,30,3/6/1987,0.05,0.4,7.40E+03,0.13,1.85E+04,0.05,5.55E+04,0.1,1.85E+04,0.05,4.81E+04,0.03,2.18E+05,0.04,6.66E+04,4.81E+04,1.85E+04,77.16956617,14.81403077,,
147,100,37.5,5/6/1987,0.025,0.2,,,7.40E+03,0.07,,,3.70E+03,0.11,1.85E+04,0.04,7.33E+04,0.06,2.22E+04,2.07E+04,1.48E+03,83.63695771,11.01628846,,
148,100,45,5/6/1987,0.03,0.3,3.70E+03,0.19,1.11E+04,0.06,3.70E+04,0.13,1.11E+04,0.08,2.96E+04,0.04,1.41E+05,0.05,4.07E+04,3.77E+04,2.96E+03,90.10434925,7.21854615,,
149,100,52.5,5/6/1987,0.03,0.3,,,7.40E+03,0.05,1.48E+04,0.11,3.70E+03,0.07,1.11E+04,0.04,5.55E+04,0.05,1.48E+04,1.11E+04,3.70E+03,96.5717408,3.420803842,,
150,100,60,5/6/1987,0.025,0.2,,,3.70E+03,0.26,,,,,,,4.07E+04,0.2,,,,103.0391323,-0.376938467,,
151,110,5,,,,,,,,,,,,,,,,,,,46.30489593,29.78378661,,
152,110,6,,,,,,,,,,,,,,,,,,,45.30587512,29.73954393,,
153,110,7,2/6/1987,1,8.7,1.74E+05,0.03,4.03E+05,0.01,1.09E+06,0.03,2.26E+05,0.02,5.74E+05,0.01,4.63E+06,0.01,7.99E+05,6.92E+05,1.07E+05,44.30685431,29.69530125,,
154,110,8.3,4/6/1987,0.9,7.9,1.15E+05,0.05,2.18E+05,0.02,5.92E+05,0.04,1.15E+05,0.03,3.26E+05,0.02,2.30E+06,0.02,4.40E+05,4.11E+05,2.96E+04,43.00812725,29.63778577,,
155,110,10,4/6/1987,0.8,7,1.30E+05,0.09,2.33E+05,0.04,1.14E+06,0.07,1.41E+05,0.07,4.33E+05,0.03,2.80E+06,0.03,5.74E+05,5.00E+05,7.33E+04,41.30979187,29.56257322,,
156,110,12,4/6/1987,0.01,0.1,2.59E+04,0.15,5.55E+04,0.06,1.44E+05,0.15,3.70E+04,0.09,1.07E+05,0.05,6.51E+05,0.04,1.44E+05,1.15E+05,2.96E+04,39.31175024,29.47408786,,
157,110,14.7,3/6/1987,0.12,1,1.85E+04,0.08,3.33E+04,0.04,8.51E+04,0.08,2.59E+04,0.04,6.66E+04,0.03,3.18E+05,0.03,9.25E+04,7.73E+04,1.52E+04,36.61439404,29.35463263,,
158,110,17,3/6/1987,0.2,1.7,5.55E+04,0.05,1.15E+05,0.02,3.44E+05,0.04,7.77E+04,0.03,2.07E+05,0.02,1.25E+06,0.02,2.85E+05,2.78E+05,7.40E+03,34.31664617,29.25287447,,
159,110,20,3/6/1987,0.1,0.9,2.22E+04,0.08,5.92E+04,0.03,1.96E+05,0.05,3.33E+04,0.04,8.51E+04,0.03,7.36E+05,0.02,1.18E+05,8.51E+04,3.33E+04,31.31958373,29.12014644,,
160,110,25,3/6/1987,0.06,0.5,1.11E+04,0.11,2.59E+04,0.04,9.25E+04,0.07,1.85E+04,0.05,5.18E+04,0.03,2.41E+05,0.03,7.03E+04,6.29E+04,7.40E+03,26.32447967,28.89893305,,
161,110,30,3/6/1987,0.07,0.6,7.40E+03,0.14,1.85E+04,0.06,2.22E+04,0.2,1.48E+04,0.06,3.33E+04,0.05,1.96E+05,0.04,4.81E+04,2.96E+04,1.85E+04,21.3293756,28.67771966,,
162,110,37.5,5/6/1987,0.06,0.5,,,1.11E+04,0.07,3.33E+04,0.12,1.48E+04,0.06,4.81E+04,0.03,9.99E+04,0.07,6.29E+04,5.92E+04,3.70E+03,13.8367195,28.34589957,,
163,110,45,5/6/1987,0.02,0.2,,,7.40E+03,0.08,,,3.70E+03,0.11,1.11E+04,0.07,8.14E+04,0.07,1.48E+04,1.15E+04,3.33E+03,6.344063401,28.01407949,,
164,110,52.5,5/6/1987,0.05,0.4,3.70E+03,0.13,1.11E+04,0.05,4.07E+04,0.08,7.40E+03,0.06,2.22E+04,0.03,1.15E+05,0.04,2.96E+04,2.22E+04,7.40E+03,-1.148592699,27.6822594,,
165,110,60,5/6/1987,0.01,0.1,,,3.70E+03,0.09,,,7.40E+03,0.08,1.11E+04,0.07,5.92E+04,0.1,1.85E+04,1.74E+04,1.11E+03,-8.641248799,27.35043931,,
166,120,5,,,,,,,,,,,,,,,,,,,55.37090485,32.90805592,,
167,120,6,2/6/1987,1,8.7,1.33E+05,0.04,3.26E+05,0.01,1.09E+06,0.02,1.63E+05,0.02,5.40E+05,0.01,3.09E+06,0.01,7.03E+05,6.73E+05,2.96E+04,56.18508582,33.48866711,,
168,120,7,4/6/1987,0.8,7,9.62E+04,0.05,2.11E+05,0.02,7.55E+05,0.04,1.22E+05,0.03,3.74E+05,0.02,2.43E+06,0.01,4.96E+05,4.59E+05,3.70E+04,56.99926679,34.06927829,,
169,120,8.3,4/6/1987,0.5,4.4,9.62E+04,0.06,2.04E+05,0.02,5.25E+05,0.05,1.04E+05,0.03,2.70E+05,0.02,2.22E+06,0.02,3.74E+05,3.37E+05,3.70E+04,58.05770206,34.82407283,,
170,120,10,4/6/1987,0.01,0.1,4.07E+04,0.06,9.99E+04,0.02,3.18E+05,0.04,5.18E+04,0.03,1.44E+05,0.02,9.14E+05,0.02,1.96E+05,1.33E+05,6.29E+04,59.44180971,35.81111184,,
171,120,12,3/6/1987,0.2,1.7,4.44E+04,0.05,9.62E+04,0.02,2.59E+05,0.04,5.18E+04,0.03,1.52E+05,0.02,9.03E+05,0.02,2.04E+05,2.04E+05,,61.07017165,36.97233421,,
172,120,14.7,3/6/1987,0.1,0.9,2.59E+04,0.07,5.18E+04,0.03,1.96E+05,0.05,4.07E+04,0.03,1.07E+05,0.02,5.88E+05,0.02,1.48E+05,1.22E+05,2.59E+04,63.26846027,38.53998441,,
173,120,17,2/6/1987,1,8.7,1.85E+04,0.08,3.70E+04,0.04,1.04E+05,0.07,2.22E+04,0.05,6.66E+04,0.03,4.03E+05,0.02,8.88E+04,5.55E+04,3.33E+04,65.1410765,39.87539013,,
174,120,20,5/6/1987,0.1,0.9,,,4.07E+04,0.07,1.41E+05,0.16,1.85E+04,0.15,7.03E+04,0.06,4.59E+05,0.06,8.88E+04,5.92E+04,2.96E+04,67.58361941,41.61722368,,
175,120,25,5/6/1987,0.025,0.2,1.11E+04,0.11,2.22E+04,0.05,5.92E+04,0.1,1.11E+04,0.06,4.07E+04,0.03,2.07E+05,0.04,5.18E+04,3.70E+04,1.48E+04,71.65452426,44.52027961,,
176,120,30,2/6/1987,0.05,0.4,7.40E+03,0.14,1.85E+04,0.05,5.18E+04,0.11,1.11E+04,0.08,3.70E+04,0.04,2.00E+05,0.04,4.81E+04,4.81E+04,,75.72542912,47.42333553,,
177,120,37.5,,,,,,,,,,,,,,,,,,,81.83178639,51.77791941,,
178,120,45,5/6/1987,0.05,0.4,1.48E+04,0.12,2.22E+04,0.06,1.18E+05,0.09,1.85E+04,0.07,4.44E+04,0.04,2.52E+05,0.05,6.29E+04,5.18E+04,1.11E+04,87.93814367,56.13250329,,
179,120,52.5,5/6/1987,0.05,0.4,7.40E+03,0.11,1.11E+04,0.05,2.96E+04,0.09,7.40E+03,0.06,1.85E+04,0.04,1.44E+05,0.03,2.59E+04,2.22E+04,3.70E+03,94.04450095,60.48708717,,
180,120,60,5/6/1987,0.01,0.1,7.40E+03,0.2,1.11E+04,0.09,7.40E+03,0.85,,,2.22E+04,0.07,1.11E+05,0.08,2.22E+04,1.78E+04,4.44E+03,100.1508582,64.84167105,,
181,130,5,2/6/1987,0.8,7,4.03E+05,0.09,9.29E+05,0.04,3.92E+06,0.05,6.11E+05,0.04,1.53E+06,0.03,9.88E+06,0.03,2.14E+06,1.40E+06,7.40E+05,49.46354335,25.35447025,,
182,130,6,,,,,,,,,,,,,,,,,,,49.09625202,24.4243643,,
183,130,7,4/6/1987,0.5,4.4,1.26E+05,0.07,2.59E+05,0.03,8.14E+05,0.06,1.33E+05,0.05,4.18E+05,0.02,2.96E+06,0.02,5.51E+05,4.88E+05,6.29E+04,48.72896069,23.49425835,,
184,130,8.3,4/6/1987,0.4,3.5,9.62E+04,0.07,1.63E+05,0.04,6.81E+05,0.06,1.07E+05,0.05,2.59E+05,0.03,1.80E+06,0.02,3.66E+05,3.07E+05,5.92E+04,48.25148196,22.28512061,,
185,130,10,4/6/1987,0.3,2.6,3.70E+04,0.08,7.40E+04,0.03,2.11E+05,0.07,5.18E+04,0.05,1.33E+05,0.03,8.07E+05,0.02,1.85E+05,1.30E+05,5.55E+04,47.6270867,20.7039405,,
186,130,12,,,,,,,,,,,,,,,,,,,46.89250403,18.8437286,,
187,130,14.7,5/6/1987,0.1,0.9,2.22E+04,0.07,4.44E+04,0.03,1.41E+05,0.06,3.70E+04,0.04,9.62E+04,0.02,5.03E+05,0.02,1.33E+05,4.81E+04,8.51E+04,45.90081744,16.33244253,,
188,130,17,2/6/1987,0.07,0.6,2.59E+04,0.07,4.81E+04,0.03,1.37E+05,0.06,2.96E+04,0.04,8.14E+04,0.03,5.29E+05,0.02,1.11E+05,7.40E+04,3.70E+04,45.05604738,14.19319885,,
189,130,20,,,,,,,,,,,,,,,,,,,43.95417339,11.402881,,
190,130,25,5/6/1987,0.033,0.3,1.85E+04,0.15,3.70E+04,0.05,1.11E+05,0.11,2.22E+04,0.09,6.29E+04,0.05,3.96E+05,0.04,8.51E+04,5.92E+04,2.59E+04,42.11771674,6.752351245,,
191,130,30,,,,,,,,,,,,,,,,,,,40.28126009,2.101821494,,
192,130,37.5,,,,,,,,,,,,,,,,,,,37.52657511,-4.873973132,,
193,130,45,5/6/1987,0.02,0.2,1.48E+04,0.12,2.96E+04,0.05,8.51E+04,0.11,2.22E+04,0.08,5.18E+04,0.04,2.78E+05,0.04,7.40E+04,5.18E+04,2.22E+04,34.77189013,-11.84976776,,
194,130,52.5,5/6/1987,0.02,0.2,3.70E+03,0.18,7.40E+03,0.06,2.96E+04,0.11,7.40E+03,0.07,1.85E+04,0.04,9.25E+04,0.05,2.59E+04,2.22E+04,3.70E+03,32.01720515,-18.82556238,,
195,130,60,5/6/1987,0.02,0.2,,,1.11E+04,0.11,4.44E+04,0.19,,,2.22E+04,0.08,9.62E+04,0.11,2.22E+04,2.11E+04,1.11E+03,29.26252017,-25.80135701,,
196,140,5,,,,,,,,,,,,,,,,,,,50.31093213,34.9061983,,
197,140,6,,,,,,,,,,,,,,,,,,,50.11311856,35.88643796,,
198,140,7,,,,,,,,,,,,,,,,,,,49.91530498,36.86667762,,
199,140,8.3,,,,,,,,,,,,,,,,,,,49.65814734,38.14098917,,
200,140,10,,,,,,,,,,,,,,,,,,,49.32186426,39.80739659,,
201,140,12,4/6/1987,1.5,13.1,2.18E+05,0.05,3.44E+05,0.03,1.14E+06,0.06,2.18E+05,0.04,5.92E+05,0.02,4.07E+06,0.02,8.10E+05,6.11E+05,2.00E+05,48.92623711,41.76787591,,
202,140,14.7,4/6/1987,0.8,7,1.30E+05,0.05,2.37E+05,0.02,9.32E+05,0.04,1.52E+05,0.03,4.26E+05,0.02,2.53E+06,0.01,5.77E+05,4.81E+05,9.62E+04,48.39214046,44.41452299,,
203,140,17,4/6/1987,0.6,5.2,1.85E+05,0.06,3.55E+05,0.02,9.84E+05,0.06,1.11E+05,0.08,5.70E+05,0.02,4.18E+05,0.01,6.81E+05,5.66E+05,1.15E+05,47.93716924,46.66907421,,
204,140,20,,,,,,,,,,,,,,,,,,,47.34372852,49.60979319,,
205,140,25,,,,,,,,,,,,,,,,,,,46.35466065,54.51099149,,
206,140,30,4/6/1987,0.15,1.3,4.81E+04,0.17,8.88E+04,0.07,,,6.29E+04,0.09,1.59E+05,0.06,8.33E+05,0.05,2.22E+05,2.11E+05,1.11E+04,45.36559278,59.41218978,,
207,140,37.5,5/6/1987,0.04,0.3,7.40E+03,0.12,1.85E+04,0.05,8.88E+04,0.07,1.11E+04,0.06,3.33E+04,0.04,1.85E+05,0.04,4.44E+04,2.59E+04,1.85E+04,43.88199097,66.76398723,,
208,140,45,,,,,,,,,,,,,,,,,,,42.39838917,74.11578467,,
209,140,52.5,5/6/1987,0.03,0.3,7.40E+03,0.08,1.48E+04,0.03,5.55E+04,0.05,7.40E+03,0.05,1.85E+04,0.03,1.89E+05,0.02,2.59E+04,1.74E+04,8.51E+03,40.91478736,81.46758212,,
210,140,60,5/6/1987,0.04,0.3,3.70E+03,0.16,1.11E+04,0.07,4.07E+04,0.12,7.40E+03,0.08,1.85E+04,0.05,1.18E+05,0.05,2.59E+04,2.48E+04,1.11E+03,39.43118556,88.81937957,,
211,150,5,,,,,,,,,,,,,,,,,,,54.79625403,26.43061785,,
212,150,6,2/6/1987,4,34.9,9.84E+05,0.06,1.77E+06,0.03,5.99E+06,0.05,1.04E+06,0.04,2.60E+06,0.02,1.64E+07,0.02,3.63E+06,3.53E+06,1.07E+05,55.49550484,25.71574142,,
213,150,7,4/6/1987,3,26.2,1.01E+06,0.06,2.19E+06,0.02,7.44E+06,0.04,9.84E+05,0.04,2.59E+06,0.02,2.15E+07,0.02,3.57E+06,3.35E+06,2.18E+05,56.19475565,25.00086499,,
214,150,8.3,4/6/1987,3.5,30.6,5.96E+05,0.05,1.18E+06,0.02,5.14E+06,0.03,7.25E+05,0.03,1.99E+06,0.02,1.32E+07,0.01,2.71E+06,2.66E+06,4.81E+04,57.10378169,24.07152563,,
215,150,10,4/6/1987,1.8,15.7,2.66E+05,0.08,5.74E+05,0.03,2.11E+06,0.05,3.15E+05,0.05,7.81E+05,0.02,6.29E+06,0.02,1.10E+06,8.55E+05,2.41E+05,58.29250806,22.8562357,,
216,150,12,4/6/1987,1.5,13.1,1.74E+05,0.08,3.18E+05,0.04,5.59E+05,0.17,2.37E+05,0.05,6.14E+05,0.03,3.69E+06,0.02,8.51E+05,7.33E+05,1.18E+05,59.69100968,21.42648284,,
217,150,14.7,4/6/1987,0.3,2.6,1.85E+05,0.08,3.07E+05,0.04,1.22E+06,0.07,1.81E+05,0.06,5.29E+05,0.03,3.64E+06,0.02,7.10E+05,6.92E+05,1.85E+04,61.57898686,19.49631648,,
218,150,17,3/6/1987,0.2,1.7,4.44E+04,0.06,1.15E+05,0.02,3.44E+05,0.04,7.03E+04,0.03,1.96E+05,0.02,1.16E+06,0.02,2.66E+05,2.22E+05,4.44E+04,63.18726371,17.8521007,,
219,150,20,3/6/1987,0.2,1.7,4.44E+04,0.05,1.04E+05,0.02,3.26E+05,0.04,6.29E+04,0.03,1.78E+05,0.02,1.05E+06,0.02,2.41E+05,2.22E+05,1.85E+04,65.28501613,15.70747141,,
220,150,25,3/6/1987,0.07,0.6,1.85E+04,0.08,4.07E+04,0.03,1.44E+05,0.06,2.59E+04,0.04,6.66E+04,0.03,4.26E+05,0.02,9.25E+04,7.03E+04,2.22E+04,68.78127016,12.13308926,,
221,150,30,2/6/1987,0.12,1,2.96E+04,0.07,6.29E+04,0.03,2.96E+05,0.04,4.81E+04,0.04,1.41E+05,0.02,6.70E+05,0.02,1.89E+05,1.30E+05,5.92E+04,72.27752419,8.558707111,,
222,150,37.5,3/6/1987,0.07,0.6,,,2.59E+04,0.1,,,1.85E+04,0.14,4.44E+04,0.08,2.85E+05,0.07,6.29E+04,5.55E+04,7.40E+03,77.52190524,3.197133889,,
223,150,45,,,,,,,,,,,,,,,,,,,82.76628629,-2.164439333,,
224,150,52.5,,,,,,,,,,,,,,,,,,,88.01066734,-7.526012556,,
225,150,60,5/6/1987,0.04,0.3,7.40E+03,0.25,1.48E+04,0.08,,,3.70E+03,0.26,2.96E+04,0.07,1.07E+05,0.13,3.33E+04,3.15E+04,1.85E+03,93.25504839,-12.88758578,,
226,160,5,4/6/1987,3.2,27.9,1.37E+05,0.04,4.88E+05,0.11,1.04E+06,0.03,2.44E+05,0.02,8.51E+05,0.01,5.03E+06,0.01,1.10E+06,9.62E+05,1.33E+05,46.42185344,31.10212629,,
227,160,6,4/6/1987,1.8,15.7,1.89E+05,0.14,5.07E+05,0.05,1.50E+06,0.1,2.85E+05,0.07,8.29E+05,0.04,5.37E+06,0.05,1.11E+06,8.58E+05,2.55E+05,45.44622412,31.32155155,,
228,160,7,5/6/1987,1.4,12.2,2.81E+05,0.05,5.11E+05,0.02,1.83E+06,0.04,4.26E+05,0.03,1.15E+06,0.01,6.03E+06,0.01,1.58E+06,1.52E+06,5.92E+04,44.47059481,31.54097681,,
229,160,8.3,4/6/1987,0.8,7,3.22E+05,0.06,5.59E+05,0.03,2.33E+06,0.05,3.59E+05,0.04,1.02E+06,0.02,6.07E+06,0.02,1.38E+06,1.01E+06,3.66E+05,43.2022767,31.82622964,,
230,160,10,4/6/1987,0.8,7,1.18E+05,0.07,2.41E+05,0.03,8.21E+05,0.06,1.33E+05,0.05,3.85E+05,0.02,2.83E+06,0.02,5.18E+05,3.26E+05,1.92E+05,41.54370687,32.19925258,,
231,160,12,4/6/1987,0.75,6.5,1.55E+05,0.06,2.81E+05,0.03,1.28E+06,0.04,1.81E+05,0.04,5.00E+05,0.02,3.21E+06,0.02,6.81E+05,5.03E+05,1.78E+05,39.59244825,32.6381031,,
232,160,14.7,5/6/1987,0.4,3.5,1.85E+04,0.09,2.96E+04,0.04,8.51E+04,0.08,2.22E+04,0.05,6.29E+04,0.03,3.89E+05,0.03,8.51E+04,5.18E+04,3.33E+04,36.9582491,33.2305513,,
233,160,17,5/6/1987,0.25,2.2,3.33E+04,0.15,7.40E+03,0.05,3.85E+05,0.08,5.18E+04,0.07,1.33E+05,0.04,8.14E+05,0.04,1.85E+05,1.49E+05,3.55E+04,34.71430168,33.73522939,,
234,160,20,2/6/1987,0.1,0.9,2.59E+04,0.07,5.92E+04,0.03,2.18E+05,0.05,3.33E+04,0.04,9.25E+04,0.02,5.66E+05,0.02,1.26E+05,1.15E+05,1.11E+04,31.78741374,34.39350517,,
235,160,25,2/6/1987,0.1,0.9,1.85E+04,0.08,3.70E+04,0.04,1.18E+05,0.06,2.59E+04,0.04,7.40E+04,0.03,3.70E+05,0.03,9.99E+04,5.55E+04,4.44E+04,26.90926718,35.49063146,,
236,160,30,2/6/1987,0.08,0.7,1.48E+04,0.11,3.33E+04,0.04,1.37E+05,0.06,1.85E+04,0.05,5.55E+04,0.03,4.11E+05,0.03,7.40E+04,5.48E+04,1.92E+04,22.03112062,36.58775775,,
237,160,37.5,5/6/1987,0.08,0.7,1.11E+04,0.1,1.85E+04,0.05,7.77E+04,0.08,2.59E+04,0.04,7.03E+04,0.03,2.15E+05,0.04,9.62E+04,9.07E+04,5.55E+03,14.71390077,38.23344719,,
238,160,45,5/6/1987,0.07,0.6,,,1.11E+04,0.11,,,3.70E+03,0.56,3.70E+04,0.07,1.55E+05,0.08,4.07E+04,3.03E+04,1.04E+04,7.396680924,39.87913663,,
239,160,52.5,5/6/1987,0.06,0.5,7.40E+03,0.14,1.11E+04,0.07,5.18E+04,0.1,1.48E+04,0.05,4.44E+04,0.03,1.44E+05,0.05,5.92E+04,5.18E+04,7.40E+03,0.079461078,41.52482606,,
